id,originals_pca_x,originals_pca_y,summaries_pca_x,summaries_pca_y,originals_tsne_x,originals_tsne_y,summaries_tsne_x,summaries_tsne_y
Example 1.1,-0.3648129,-0.31866893,-0.3232943,-0.43173623,2.3313594,17.490515,-15.031228,-12.667503
Example 1.2,-0.3061096,-0.27991548,-0.23973548,-0.385201,0.8415104,18.551811,-13.650286,-14.121593
Example 1.3,-0.3318569,-0.34992585,-0.26855317,-0.39819074,1.9491632,17.887827,-14.654372,-13.076106
Example 2.1,-0.3804967,-0.3060919,-0.35807273,-0.24671718,-6.382081,14.147939,12.303738,11.666705
Example 2.2,-0.35901508,-0.35607272,-0.34412256,-0.27783182,-4.957784,15.802015,7.108353,16.761633
Example 2.3,-0.29193944,-0.2372188,-0.3104107,-0.26232785,-2.098588,14.764859,7.331053,13.329696
Example 2.4,-0.18100941,-0.21816264,-0.22672752,-0.23089778,-3.664114,11.178378,9.303586,15.113674
Example 2.5,-0.17667007,-0.20610982,-0.23667598,-0.19082752,-3.430079,11.473958,9.749272,15.425533
Example 2.6,-0.34643772,-0.32132083,-0.3910523,-0.33365157,-1.8832692,15.061102,6.7559147,13.881173
Example 3.1,-0.28446943,-0.23825797,-0.33209893,-0.2110403,-4.1609097,16.056503,6.528939,15.887542
Example 3.2,-0.1803165,-0.28572994,-0.28267106,-0.33938533,-3.4414356,13.576382,8.793446,12.124943
Example 3.3,-0.4272403,-0.14861904,-0.44244304,-0.110760845,2.5790489,13.80079,4.6840982,12.041612
Example 3.4,-0.2944511,-0.013101465,-0.36112574,0.005098335,3.3346567,12.966399,4.457818,10.73989
Example 3.5,-0.31135702,-0.14314209,-0.386605,-0.13568187,4.247384,14.2507715,3.3176994,13.059572
Example 3.6,-0.48402044,-0.08811379,-0.48250836,-0.006590647,0.92499006,12.384081,2.4173818,10.512159
Example 3.7,-0.48034117,-0.03560739,-0.47873005,-0.018920014,0.85028285,11.709383,1.7499837,10.772601
Example 3.8,-0.3399183,-0.2637077,-0.30091727,-0.057459023,-0.51085633,13.078071,6.0564547,7.941342
Example 4.1,-0.38688487,0.17614262,-0.43219134,0.09776237,2.6861353,10.526971,3.8048956,9.151471
Example 4.2,-0.28307012,0.22646187,-0.33787033,0.1025283,3.0955625,7.8974624,0.94935614,7.5149736
Example 4.3,-0.16796003,0.2410185,-0.24952129,0.1777752,1.7881451,7.8748965,-0.032913603,7.2628965
Example 4.4,-0.2718725,0.07993542,-0.30600387,-0.010374056,5.544238,8.549302,3.9067204,5.697455
Example 4.5,-0.34083128,0.23018885,-0.308526,0.1584867,3.7222445,8.414185,2.666596,5.945163
Example 4.6,-0.36886346,0.14034204,-0.39556,0.117497124,2.6994846,9.670507,4.5024047,8.149627
Example 4.7,-0.14420927,0.20290507,-0.21342006,0.13582285,3.9721584,4.0014057,0.1069395,4.287713
Example 4.8,-0.19146289,0.16133374,-0.15002935,0.12194592,4.0487514,5.0021663,-1.0095904,4.9878373
Example 4.9,-0.16964148,0.30728826,-0.17851022,0.21626571,1.8391612,6.0432787,1.24854,2.957994
Example 4.10,-0.26295704,0.20717834,-0.2212497,0.12788673,0.59685874,6.139905,3.375484,2.8241115
Example 4.11,-0.092332065,0.34406167,-0.09972502,0.23710063,2.1307127,5.200012,2.094654,2.3494182
Example 4.12,-0.20028664,0.18372697,-0.12772287,0.1638134,4.416375,7.1402435,1.8865069,4.8899055
Example 4.13,-0.16116479,0.16418026,-0.15376338,0.078064196,5.0265584,5.9481177,5.7563004,6.6302505
Example 5.1,-0.012679321,0.14617601,-0.04379449,0.1825813,-3.0426722,0.25397956,-1.3609192,-3.7142155
Example 5.2,-0.06808661,0.1739274,-0.09251622,0.11953859,0.6838725,3.1188185,0.45342478,0.31231043
Example 5.3,-0.007154859,0.29038987,-0.07450697,0.24610734,1.0910063,2.6822572,-0.619748,-0.21088086
Design Example 5.4,0.09044276,0.23096117,0.08125485,0.2208119,2.265973,1.8339678,-1.5758431,0.47174296
Example 5.5,-0.098557435,0.07578086,-0.13937327,0.08484822,-3.544264,0.44276196,-1.4686092,-5.1410866
Example 5.6,-0.015518563,0.14918692,-0.060919218,0.28281957,-1.5060347,-0.41398862,-0.37601236,2.1386845
Example 5.7,-0.2592067,-0.075229265,-0.26248515,0.08979546,-8.008871,4.0223475,-3.9999228,-5.136425
Example 5.8,-0.10569074,0.041671097,-0.18131101,0.054512653,-6.508337,3.5110393,-1.671115,-2.126292
Example 6.1,-0.07280127,0.038645245,-0.17911376,0.20930834,-3.063701,4.1722016,-6.398531,-8.272585
Example 6.2,-0.084332034,0.2775802,-0.038869023,0.29893422,-2.92718,5.5492725,-7.1783514,-7.0362787
Example 6.3,-0.089873694,0.2051599,-0.07629642,0.33841494,-3.721949,5.761228,-7.4673944,-7.918712
Example 6.4,-0.12752616,0.21171035,-0.15393503,0.2001115,-5.243164,4.8507295,-5.1475067,-6.2815194
Example 6.5,-0.10189103,0.1939519,-0.15230775,0.21100466,-4.680847,4.5551963,-5.045626,-7.2999654
Example 6.6,-0.051530916,0.16787808,-0.10678523,0.12197124,0.2808126,1.5319594,0.8075841,-1.532696
Example 6.7,-0.2744838,0.17753398,-0.2506031,0.16600591,4.6805735,9.933647,2.7796354,7.422711
Example 6.8,-0.021890199,0.12844951,-0.02960254,0.19095272,-2.8545527,3.624707,-9.014638,-7.8128753
Example 6.9,-0.12224996,0.16890873,-0.10556187,0.3297793,-5.354782,5.749927,-8.071201,-5.6647487
Example 6.10,-0.14655806,-0.027705971,-0.10213543,0.1493036,-6.32262,0.35626134,-9.2583,-5.446503
Example 7.1,0.1828141,0.19305384,0.019383518,0.13845937,-0.29378128,-8.141667,-3.873079,3.3898194
Example 7.2,0.13465993,0.18058287,0.07842089,0.22201228,-1.5765367,-7.99222,-5.9709477,3.4224405
Example 7.3,0.16351175,0.14372185,0.14252844,0.122994184,-1.8020809,-8.43437,-6.3481402,1.6655864
Design Example 7.4,0.1982523,0.21799871,0.30118474,0.104287416,0.7421792,-6.824798,-8.023925,3.052131
Example 7.5,0.04923262,-0.016420772,0.15433584,0.05642967,1.9219782,-3.8962157,-6.199503,0.43048763
Example 7.6,0.08567014,0.2899641,0.059904646,0.23240376,0.061500758,-5.5796227,-2.731828,3.0116658
Design Example 7.7,0.21306835,0.17841761,0.27789935,0.048162594,1.8449833,-6.6122055,-8.492468,3.7339988
Example 8.1,0.086949565,0.31365183,0.07565423,0.23715194,-1.5050685,-6.3750434,-7.086006,-2.4399827
Example 8.2,0.1987529,0.28113616,0.19228855,0.33629987,-5.072775,-6.2134557,-10.353267,0.38188773
Example 8.3,0.117181726,0.21996532,0.2360622,0.35625124,-1.6584538,-4.4042535,-8.734896,1.1455343
Example 8.4,0.10542771,0.23776309,0.046385363,0.17547569,-1.9964855,-3.3955438,-10.525395,-1.4623146
Example 8.5,0.08347006,0.10308203,0.10829913,0.1630851,-3.7998245,-3.561001,-10.834881,2.5269182
Example 8.6,0.1962426,0.2679174,0.21467127,0.3674474,-4.768969,-5.8154044,-11.113618,0.44810796
Example 8.7,0.14745305,0.07273989,0.20541655,0.20664623,1.2379466,-3.7783475,-8.121531,-0.57846713
